player_name,player_url,player_birthday,player_height,player_foot,position,country_from,league_from,club_from,club_from_url,country_to,league_to,club_to,club_to_url,fee,year
Jérémy Doku,https://www.transfermarkt.com/jeremy-doku/profil/spieler/486049,"May 27, 2002",173,right,Right Winger,Belgium,Jupiler Pro League,RSC Anderlecht,https://www.transfermarkt.com/rsc-anderlecht/startseite/verein/58/saison_id/2020,France,Ligue 1,Stade Rennais FC,https://www.transfermarkt.com/fc-stade-rennes/startseite/verein/273/saison_id/2020,26000000,2020
Tiemoué Bakayoko,https://www.transfermarkt.com/tiemoue-bakayoko/profil/spieler/182618,"Aug 17, 1994",189,right,Defensive Midfield,England,Premier League,Chelsea FC,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,Italy,Serie A,SSC Napoli,https://www.transfermarkt.com/ssc-neapel/startseite/verein/6195/saison_id/2020,2000000,2020
Emre Can,https://www.transfermarkt.com/emre-can/profil/spieler/119296,"Jan 12, 1994",186,right,Defensive Midfield,Italy,Serie A,Juventus FC,https://www.transfermarkt.com/juventus-turin/startseite/verein/506/saison_id/2020,Germany,Bundesliga,Borussia Dortmund,https://www.transfermarkt.com/borussia-dortmund/startseite/verein/16/saison_id/2020,25000000,2020
Stefano Sensi,https://www.transfermarkt.com/stefano-sensi/profil/spieler/216179,"Aug 5, 1995",168,right,Central Midfield,Italy,Serie A,US Sassuolo,https://www.transfermarkt.com/us-sassuolo/startseite/verein/6574/saison_id/2020,Italy,Serie A,Inter Milan,https://www.transfermarkt.com/inter-mailand/startseite/verein/46/saison_id/2020,25000000,2020
Dominik Szoboszlai,https://www.transfermarkt.com/dominik-szoboszlai/profil/spieler/451276,"Oct 25, 2000",187,right,Left Winger,Austria,Bundesliga,Red Bull Salzburg,https://www.transfermarkt.com/red-bull-salzburg/startseite/verein/409/saison_id/2020,Germany,Bundesliga,RB Leipzig,https://www.transfermarkt.com/rasenballsport-leipzig/startseite/verein/23826/saison_id/2020,22000000,2020
Mario Pasalic,https://www.transfermarkt.com/mario-pasalic/profil/spieler/205938,"Feb 9, 1995",188,right,Central Midfield,England,Premier League,Chelsea FC,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,Italy,Serie A,Atalanta BC,https://www.transfermarkt.com/atalanta-bergamo/startseite/verein/800/saison_id/2020,14500000,2020
Marash Kumbulla,https://www.transfermarkt.com/marash-kumbulla/profil/spieler/371371,"Feb 8, 2000",191,right,Centre-Back,Italy,Serie A,Hellas Verona,https://www.transfermarkt.com/hellas-verona/startseite/verein/276/saison_id/2020,Italy,Serie A,AS Roma,https://www.transfermarkt.com/as-rom/startseite/verein/12/saison_id/2020,3000000,2020
Ozan Kabak,https://www.transfermarkt.com/ozan-kabak/profil/spieler/361260,"Mar 25, 2000",187,right,Centre-Back,Germany,Bundesliga,FC Schalke 04,https://www.transfermarkt.com/fc-schalke-04/startseite/verein/33/saison_id/2020,England,Premier League,Liverpool FC,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,1100000,2020
Moise Kean,https://www.transfermarkt.com/moise-kean/profil/spieler/364135,"Feb 28, 2000",183,right,Centre-Forward,England,Premier League,Everton FC,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2020,France,Ligue 1,Paris Saint-Germain,https://www.transfermarkt.com/fc-paris-saint-germain/startseite/verein/583/saison_id/2020,loan transfer,2020
Ryan Sessegnon,https://www.transfermarkt.com/ryan-sessegnon/profil/spieler/392775,"May 18, 2000",178,left,Left Midfield,England,Premier League,Tottenham Hotspur,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2020,Germany,Bundesliga,TSG 1899 Hoffenheim,https://www.transfermarkt.com/tsg-1899-hoffenheim/startseite/verein/533/saison_id/2020,loan transfer,2020
Felipe Anderson,https://www.transfermarkt.com/felipe-anderson/profil/spieler/159372,"Apr 15, 1993",175,right,Right Winger,England,Premier League,West Ham United,https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2020,Portugal,Liga NOS,FC Porto,https://www.transfermarkt.com/fc-porto/startseite/verein/720/saison_id/2020,loan transfer,2020
Darwin Núñez,https://www.transfermarkt.com/darwin-nunez/profil/spieler/546543,"Jun 24, 1999",187,right,Centre-Forward,Spain,LaLiga2,UD Almería,https://www.transfermarkt.com/ud-almeria/startseite/verein/3302/saison_id/2020,Portugal,Liga NOS,SL Benfica,https://www.transfermarkt.com/benfica-lissabon/startseite/verein/294/saison_id/2020,24000000,2020
Edouard Mendy,https://www.transfermarkt.com/edouard-mendy/profil/spieler/442531,"Mar 1, 1992",195,right,Goalkeeper,France,Ligue 1,Stade Rennais FC,https://www.transfermarkt.com/fc-stade-rennes/startseite/verein/273/saison_id/2020,England,Premier League,Chelsea FC,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,24000000,2020
